"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Проверка обновления email у несуществующего пользователя","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка пустого класа UserService","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка добавления пользователя","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","1","Проверка отображения списка с совершеннолетними пользователями","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка отображения списка с совершеннолетними пользователями","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка ошибки обновления пользоваля с некорректным email","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","1","Проверка ошибки при повторном добавления пользователя","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка читаемого класса User","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUser","test_user_service","",""
"","0","Проверка отображения списка с совершеннолетними пользователями","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка добавления двух пользователей","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка удаления несуществующего пользователя","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка отображения списка с совершеннолетними пользователями","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка ошибки при добавлении пользователя с отрицательным возрастом","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка отображения списка с совершеннолетними пользователями","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка обновления email пользователя","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка отображения списка с совершеннолетними пользователями","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
"","0","Проверка удаления пользователя из UserService","tests","Thu May 28 06:04:20 UTC 2026","passed","Thu May 28 06:04:20 UTC 2026","TestUserService","test_user_service","",""
